end,end 2,end 3,end 4,end 5,end 6
Private Schools of Durgapur,,,,,
DSP Schools     W.B. Govt. Schools,,,,,
Name,Address,Contact No,Standard,Medium,Board
Beachwood school,"Satyajit Ray Sarani, City Centre, Durgapur, West Bengal, Pin: 713216",0343 2606566,"Play Group, Nursery, XI -XII",English,ICSE
Bhiringi Shishu Tirtha(P) School,"Naba Pally, Benachity, Durgapur-13",2583556,Upto Class XII,Bengali,WBBSE
Bidhan Chandra Institution For Boys,"C.V.Raman Avenue, Durgapur -05",2562824/ 2562735,Class-XI-XII only,English & Bengali,WBCHSE
Bidhan Chandra Institution For Girls,"C.V.Raman Avenue, Durgapur -05",2547562,Class - XI -XII only,English & Bengali,WBCHSE
Carmel Convent (Fuljore),"M.A.M.C. Township, Near Fuljore, Durgapur",2500766/ 2500918 / 2500919,Upto Class X,English,ICSE
Carmel Convent (Steel Township),"2/8 GuruNanak Road, Durgapur-4",2562643/ 2562333,Upto Class X,English,ICSE
Central School(Amarabati),"Near Amarabati Defence Colony, Durgapur",.,Upto Class X,English,ICSE
D.A.V. Model School,"J.M.Sengupta Rd.(Near D.S.P. Main Hospital), Durgapur-4",2563500/ 2562549/ 2564711,Upto Class XII,English,CBSE
Delhi Public School,"Sector 2D, 2D/10, Bidhannagar, Durgapur- 12",0343 - 2002816/ 9903028214,Upto Class XII,English,CBSE
Doon Public School,"Roydanga, Bankura More, Durgapur-1",.,Upto Class X,English,CBSE
Dorothy Pradhan Bidhan School,"H.M.Sarani, Bidhannagar, Durgapur-12",2535933,Upto Class X,English,ICSE
Durgapur Iswar Chandra Vidyasagar (DICV) Public High School,"School Road, A-Zone, (Near Ranapratap 2nd Bus Stop), Durgapur-713204",343-2564004/ 9434539191/ 9475151236,Upto Class X,English,ICSE
Durgapur Public School,"Shahid Sukumar Banerjee Sarani, Bidhannagar, Durgapur-713212",0343-2002222/ 6456012/ 8016960404,.,English,CBSE
Goenka International School,"Nachan Road, Kamalpur, A-Zone, Durgapur, West Bengal -713204",+91- 9933159493/ 9434247887/ 9002509493,Upto Class VII,English,CBSE
Guru TeghBahadur Private School,"Kazi Nazrul Islam Road, Nazrul Path, Prantika, A-Zone, Durgapur, West Bengal 713204",2570978/ 2575873,Upto Class XII,English,CBSE
Hem Sheela Model School,"Sadhu Ramchandra Murmur Sarani, Durgapur-14",2566850,Upto Class XII,English,CBSE
Hem Sheela Model School(Junior),"Rabindra Pally, Amrai, Durgapur-3",2570918,Upto Class V,English,CBSE
Kendriya Vidyalaya(CMERI),"C.M.E.R.I (Housing), Durgapur",2562935,Upto Class XII,English/ Hindi,ICSE
Kendriya Vidyalaya(CRPF),"CRPF campus, Amarabari,  Durgapur",2500531,Upto Class XII.,English,ICSE
KID'S ZEE,"J.M. Sengupta Road, B-Zone, Durgapur-713205",2566850,Lower Nursery,English.,.
Manisha International,"Near Rajbandh, Durgapur",0343- 2520712 / 2520713,.,English,.
Minerva Academy,"DILS Law College Campus, City centre, Phase-II, Near Ghandi More, Durgapur-713208",2543388/ 6451619,Nursery to class IV,English,CBSE
Mother Teresa Academy,"City centre Sail CO-Operative Complex, Near Bulk Supply bus Stop, Durgapur-713216","0343- 6455743, 9932912308, 9232856360",Nursery to class VII,English,CBSE
Narmada High School,"City Centre, Phase-II, Palasdia, Beside Law College, Durgapur",0343- 3207761,Nursery to Class XII (Science),English,WBCHSE
Nirjhar Day Boarding School,"C-Zone, Durgapur-713205",0343- 2603939,.,English,.
Pranavananda Vidya Mandir,"Chaitanya Avenue, Durgapur -4",2563333/ 2121,Upto Class X,English,ICSE
Sant. Nirankari Public School,Durgapur-1,2551833,.,.,.
S.K.S. Public School,"Mangalpur, Raniganj",2562935,Upto Class XII,English,CBSE
St. Michael's,"Aldrin Path, D.D.A.,Colony, Durgapur",2535814/ 2537577/ 2534242,Upto Class X,English,ICSE
St. John's Public School,"Bonsol, opposite Jabberpally, 1 Km from Shivaji Amtala, Azone, Durgapur",2578840/ 9475742316,.,English,.
St. Peters High School,"Mirabai Road, A-Zone, Durgapur-4",2568283/ 2564132,Upto Class XII,English,ICSE
St. Xavier's,"Bidhannagar, Durgapur -6",2502333/ 2502181,Upto Class X,English,ICSE
Surendra Ch. Model School,J.M.Sengupta Rd. Durgapur- 4,9832751844 / 9332911678,Upto Class X,Bengali,WBBSE
ZOOM School,"A-Zone, Durgapur- 712304",.,Upto Class X,English,ICSE
DSP Schools      W.B. Govt. Schools,,,,,